Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
Prins van Oranje,Royal Netherlands Navy,Prins van Oranje,CM,1291,2 February 1932,sunk 12 January 1942,,,
Prinz Eugen,GER,enlarged Admiral Hipper,CA,14680,1 August 1940,sunk after A-bomb test at Bikini in 1946,,,
Proteus,ENG,Parthian,SS,2070,5 May 1930,Scrapped in March 1946 at Troon,,,
Provence,FRA,Bretagne,BB,22200,1 March 1916,"scuttled 27 November 1942,",,,
Providence,USA,Cleveland,CL,11800,15 May 1945,"converted to missile cruiser 1959, scrapped 1980",,,
Prunella,ENG,,Special Service Ship,4443,,sunk 21 June 1940,,,
Psara,Hellenic Navy,Kountouriotis,DD,1350,1933,sunk 20 April 1941,,,
Puckeridge,ENG,Hunt,DD,1000,,sunk 6 September 1943 by U-617,,,
Puget Sound,USA,Commencement Bay,CVE,10900,18 June 1945,scrapped January 1962,,,
Puncher,Royal Navy  Royal Canadian Navy,Ruler,CVE,11400,5 February 1944,"Crewed by RCN, paid off 16 February 1946, scrapped 1973",,,
Punjab,Royal Indian Navy,Bathurst,K,1025,20 March 1942,Decommissioned 1949,,,
Punjabi,ENG,Tribal,DD,2020,29 March 1939,sunk 1 May 1942,,,
Pursuer,ENG,Attacker,CVE,11400,14 June 1943,"Returned to USN 12 February 1946, sold for scrap May 1946",,,
Pytchley,ENG,Hunt,DD,1050,23 October 1940,"paid off 1946, scrapped 1956",,,
Gabbard,ENG,Battle,DD,2325,10 December 1946[5],paid off 1953,,,
Gadila,Netherlands,Rapana,merchant aircraft carrier,8000,1944,returned to merchant service 1946; scrapped 1958,,,
Gallant,ENG,G,DD,1335,25 February 1936,"sunk as a blockship September 1943, scrapped 1953",,,
Galt,Royal Canadian Navy,Flower,K,925,15 May 1941,paid off 21 June 1945,,,
Gambia,Royal Navy  Royal New Zealand Navy,Fiji,CL,8000,21 February 1942,scrapped 1968,,,
Gambier Bay,USA,Casablanca,CVE,7800,28 December 1943,Sunk 25 October 1944,,,
Gamble,USA,Wickes,minelayer destroyer,1090,29 November 1918,"Damaged 17 February 1945, scuttled 16 July 1945.",,,
Gansevoort,USA,Benson,DD,1620,25 August 1942,"decommissioned 1946, sunk as target 1972",,,
Gardenia,ENG,Flower,K,925,24 May 1940[6],9 November 1942[6],,,
Garland,Royal Navy  Polish Navy,G,DD,1335,3 March 1936,"to Poland 3 May 1940, paid off 24 September 1946",,,
Garth,ENG,Hunt,DE,1000,28 August 1940,scrapped 1958,,,
Gato,USA,Gato,SS,"1,525 surfaced",31 December 1941,Scrapped 25 July 1960,,,
General Belgrano,Argentine Navy,Giuseppe Garibaldi,armored cruiser,6100,c.1896,Stricken 8 May 1947,,,
General Pueyrredon,Argentine Navy,Giuseppe Garibaldi,armored cruiser,6100,1897,Stricken 2 August 1954,,,
Genista,ENG,Flower,K,925,8 December 1941,,,,
Gentian,ENG,Flower,K,925,20 September 1940,,,,
George Leygues,French Navy  Free French Naval Forces,La Galissonnière,CL,7600,15 November 1937,scrapped 1959,,,
Georgetown,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1200,23 September 1940,"to Canada September 1942, to USSR as Doblestny 10 August 1944",,,
Georgios Averof,Hellenic Navy,Pisa,armored cruiser,9450,16 May 1911,"Decommissioned 1952, museum ship",,,
Geranium,ENG,Flower,K,925,24 June 1940[6],,,,
Gherardi,USA,Gleaves,DD,1630,15 September 1942,"decommissioned 1955, sunk as target 1973",,,
Giffard,Royal Canadian Navy,Flower modified,K,1015,10 November 1943,5 July 1945,,,
Gilbert Islands,USA,Commencement Bay,CVE,10900,5 February 1945,scrapped 1 November 1979,,,
Gillespie,USA,Benson,DD,1620,18 September 1942,"decommissioned 1946, sunk as target 1973",,,
Giovanni dalle Bande Nere,Regia Marina,Giussano,CL,5200,10 February 1932,Sunk 19 July 1940,,,
Gipsy,ENG,G,DD,1350,22 February 1936,sunk 21 November 1939,,,
Giulio Cesare,Regia Marina,Conte di Cavour,dreadnought,26140,10 May 1914,"Ceded to Soviet Union 1948, renamed Novorossiysk",,,
Giuseppe Garibaldi,Regia Marina,Duca degli Abruzzi,CL,9195,1937,scrapped 1972,,,
Giuseppe Miraglia,Regia Marina,,seaplane tender,4965,1927,decommissioned 15 July 1950,,,
Glace Bay,Royal Canadian Navy,River,FF,1445,2 September 1944,paid off 17 November 1945,,,
Gladiolus,ENG,Flower,K,925,6 April 1940,sunk on 17 October 1941 by U-553[7],,,
Glaisdale,ENG,Hunt,DE,1050,12 June 1942,"to Norway after war, scrapped 1961",,,
Gleaves,USA,Gleaves,DD,1630,14 June 1940,Sold 29 June 1972 and broken up for scrap,,,
Glennon,USA,Gleaves,DD,1630,8 October 1942,sunk 10 June 1944,,,
Gloire,French Navy  Free French Naval Forces,La Galissonnière,CL,7600,15 November 1937,scrapped 1958,,,
Gloriosa,ENG,Flower,K,925,,"Cancelled, 23 January 1941",,,
Glorious,ENG,Glorious,CV,22500,20 April 1916,sunk 8 June 1940[8],,,
Glory,ENG,Colossus,CV,13200,2 April 1945,scrapped August 1961,,,
Gloucester,ENG,Town,CL,9400,31 January 1939,Sunk on 22 May 1941 during the Battle of Crete[9],,,
Glowworm,ENG,G,DD,1350,22 January 1936,sunk 8 April 1940,,,
Gloxinia,ENG,Flower,K,925,22 August 1940,,,,
Gneisenau,GER,Scharnhorst,BB,32000,21 May 1938,sunk as block ship March 1945,,,
Goathland,ENG,Hunt,DE,1050,,constructive loss July 1944,,,
Godavari,Royal Indian Navy,Black Swan,SL,1350,28 June 1943,1948,,,
Godetia (I),ENG,Flower,K,925,15 July 1940,sunk in collision 6 September 1940,,,
Godetia (II),ENG,Flower,K,925,23 February 1942,,,,
Goldsborough,USA,Clemson,DD,1250,26 January 1920,Decommissioned 11 October 1945,,,
Good Hope,South African Navy,Loch,FF,1435,1 December 1944,scrapped June 1978,,,
Goodall,ENG,Captain,FF,1150,4 October 1943,sunk 29 April 1945,,,
Gorizia,Regia Marina,Zara,CA,11900,1931,sunk 1943,,,
Gouden Leeuw,Royal Netherlands Navy,Prins van Oranje,CM,1291,24 February 1932,scuttled 7 March 1942,,,
Graf Zeppelin,GER,Graf Zeppelin,CV,23200,,"launched 8 December 1938, not completed, scuttled 16 August 1947[10]",,,
Grafton,ENG,G,DD,1350,20 March 1936,scuttled after torpedo attack by U-62 on 29 May 1940,,,
Graph,Kriegsmarine  Royal Navy,Type VIIC,SS,769,launched 15 April 1941,"German U-boat, captured by the British, 27 August 1941. Ran aground September 1944",,,
Gravelines,ENG,Battle,DD,2325,14 June 1946[11],paid off March 1953,,,
Grayson,USA,Gleaves,DD,1630,14 February 1941,"decommissioned 1947, scrapped 1974",,,
Greenhalgh,Brazilian Navy,Marcílio Dias,DD,1500,29 November 1943,decommissioned 1966,,,
Greif,GER,Raubvogel,torpedo boat,1290,15 March 1927,sunk 23 May 1944,,,
Grenade,ENG,G,DD,1350,28 March 1936,sunk 29 May 1940,,,
Grenville (I),ENG,G,DD,1350,1 July 1936,sunk 19 January 1940,,,
Grenville (II),ENG,U,DD,1777,27 May 1943,"paid off 1974, scrapped 1983",,,
Greyhound,ENG,G,DD,1350,1 February 1936,sunk 22 May 1941,,,
Gridley,USA,Gridley,DD,1590,24 June 1937,scrapped 1947,,,
Griffin,Royal Navy  Royal Canadian Navy,G,DD,1350,6 June 1936,"to Canada 1 March 1943 as Ottawa, paid off May 1945",,,
Grom,Polish Navy,Grom,DD,1975,11 May 1937,sunk 4 May 1940,,,
Grou,Royal Canadian Navy,River,FF,1445,4 December 1943,paid off 25 December 1946,,,
Grove,ENG,Hunt,DE,1050,5 February 1942,sunk 12 June 1942,,,
Gryf,Polish Navy,Gryf,CM,2085,27 February 1938,sunk 3 September 1939,,,
Guacolda,CHL,H,SS,441,1917,scrapped 1949,,,
Guadalcanal,USA,Casablanca,CVE,7800,25 September 1943,"decommissioned 15 July 1946, scrapped 1959",,,
Guale,CHL,H,SS,441,1917,scrapped 1945,,,
Guam,USA,Alaska,"battlecruiser (""large cruiser"")",27500,17 September 1944,scrapped August 1961,,,
Guelph,Royal Canadian Navy,Flower modified,K,1015,9 May 1944,27 June 1945,,,
Gurkha (I),ENG,Tribal,DD,2020,21 October 1938,sunk 9 April 1940,,,
Gurkha (II),ENG,L,DD,1920,18 February 1941,sunk 17 January 1942,,,
Gustav V,Swedish Navy,Sverige,coastal defence ship,7125,12 December 1922,"paid off 22 March 1957, scrapped 1970",,,
Gwin,USA,Gleaves,DD,1630,15 January 1941,sunk 13 July 1943,,,
T13,GER,Type 37,torpedo boat,1098,31 May 1941,"sunk in the Skagerrak by RAF bombers, 10 April 1945",,,
T14,GER,Type 37,torpedo boat,1098,14 June 1941,to France as Dompaire 1947; struck November 1951 and scrapped,,,
T15,GER,Type 37,torpedo boat,1098,26 June 1941,"Sunk in air raid at Kiel, 13 December 1943",,,
T16,GER,Type 37,torpedo boat,1098,24 July 1941,Damaged beyond repair 13 April 1945; scrapped September 1946,,,
T17,GER,Type 37,torpedo boat,1098,18 August 1941,To USSR as destroyer Poryvisty 1946; struck December 1959,,,
T18,GER,Type 37,torpedo boat,1098,22 November 1941,"Sunk by Soviet rocket attack off the Åland Islands, 17 September 1944",,,
T19,GER,Type 37,torpedo boat,1098,18 December 1941,to USA 1945; sold to Denmark 1947; scrapped 1951,,,
T20,GER,Type 37,torpedo boat,1098,5 June 1942,to France as Baccarat 1946; struck October 1951 and scrapped,,,
T21,GER,Type 37,torpedo boat,1098,11 July 1942,"to USA 1945; scuttled in Skagerrak, 1946",,,
Taihō,JPN,Taihō,CV,29300,7 March 1944,Sunk 19 June 1944,,,
Taiyō,JPN,Taiyō,CVE,18116,2 September 1941,sunk 18 August 1944,,,
Takanis Bay,USA,Casablanca,CVE,7800,15 April 1944,scrapped 29 June 1960,,,
Takao,JPN,Takao,CA,13160,31 May 1932,sunk 31 July 1945,,,
Talybont,ENG,Hunt,DD,1050,19 May 1943,paid off 1947; sold for scrap 1961,,,
Tama,JPN,Kuma,CL,5100,29 January 1921,sunk 20 October 1944,,,
Tamarisk,Royal Navy  Hellenic Navy,Flower,K,925,November 1943,to Greece as Tombazis November 1943; scrapped 1952,,,
Tanatside,ENG,Hunt,DD,1050,August 1942,paid off 1946; scrapped 1964,,,
Tannenberg,GER,,CM,1098,2 September 1939,9 July 1941,,,
Tapperheten,Swedish Navy,Äran,coastal defence ship,3650,April 1903,"paid off June 1947, scrapped 1952",,,
Taranto,Regia Marina,Magdeburg,CL,3184,1925,former German Strassburg; scuttled 23 September 1943,,,
Tarmo,Finland,,escort and icebreaker,2300,4 January 1908,29 May 1969; museum ship from May 1992,,,
Tartar,ENG,Tribal,DD,2020,10 March 1939,Scrapped 22 February 1948,,,
Tasajera,ENG,Maracaibo,LST,4193,December 1941,paid off 1945,,,
Tatsuta,JPN,Tenryu,CL,4350,31 May 1919,Sunk 13 March 1944,,,
Tattnall,USA,Wickes,DD,1060,26 June 1919,Decommissioned 17 December 1945,,,
Taylor,USA,Fletcher,DD,2050,28 August 1942,Decommissioned 31 May 1946,,,
Teazer,ENG,T,DD,1710,13 September 1943,Scrapped 7 August 1965,,,
Tegualda,CHL,H,SS,441,1917,scrapped 1945,,,
Teme,Royal Canadian Navy,River,FF,1445,28 February 1944,"Torpedoed 29 March 1945, constructive total loss",,,
Tenacious,ENG,T,DD,1710,30 October 1943,scrapped June 1965,,,
Tennessee,USA,Tennessee,BB,33190,3 June 1920,"Decommissioned 14 February 1947, scrapped 1959",,,
Tenryū,JPN,Tenryū,CL,4350,20 November 1919,Sunk 18 December 1942,,,
Termagant,ENG,T,DD,1710,8 October 1943,"paid off 1960, scrapped 5 November 1965",,,
Terpsichore,ENG,T,DD,1710,20 January 1944,scrapped 17 May 1966,,,
Teruzuki,JPN,Akizuki,DD,2700,11 June 1942,sunk 12 December 1942,,,
Terror,ENG,Erebus,BM,8000,6 August 1916,Sunk 24 February 1941,,,
Tetcott,ENG,Hunt,DD,1050,2 December 1941,scrapped 1956,,,
Teviot,Royal Navy  South African Navy,River,FF,1370,30 January 1943,"to South Africa 10 June 1945, scrapped March 1955",,,
Texas,USA,New York,BB,27000,12 March 1914,Decommissioned 21 April 1948; museum ship,,,
Thane,ENG,Ruler,CVE,7800,19 November 1943,"paid off October 1945, scrapped 1946",,,
The Pas,Royal Canadian Navy,Flower,K,925,21 October 1941,paid off 24 July 1945,,,
Thetford Mines,Royal Canadian Navy,River,FF,1445,24 May 1944,paid off 18 November 1945,,,
Thetis,GER,Tordenskjold,coastal defence ship,3858,21 March 1898,"ex-HNoMS Harald Haarfagre, captured by Germany 9 April 1940, scrapped 1948",,,
Thetis Bay,USA,Casablanca,CVE,7800,12 April 1944,scrapped December 1964,,,
Thompson,USA,Gleaves,DD,1630,10 July 1943,"decommissioned 1954, scrapped 1972",,,
Thonburi,Royal Thai Navy,Thonburi,coastal defence ship,2265,31 January 1938,"wrecked 17 January 1941, refitted, struck 19 June 1959",,,
Thor,GER,,MC,9200,15 March 1940,accidentally burnt 30 November 1942,,,
Thorlock,Royal Canadian Navy,Flower modified,K,1015,13 November 1944,15 July 1945,,,
Thorn,USA,Gleaves,DD,1630,1 April 1943,"decommissioned 1946, sunk as target 1974",,,
Thyme,ENG,Flower,K,925,23 October 1941,,,,
Ticonderoga,USA,Essex,CV,30800,8 May 1944,"decommissioned 1 September 1973, scrapped 1975",,,
Tiger,GER,Raubtier,torpedo boat,1320,15 January 1929,wrecked in collision with the Z3 Max Schultz 25 August 1939,,,
Tillman,USA,Gleaves,DD,1630,4 June 1942,"decommissioned 1947, scrapped 1972",,,
Timmins,Royal Canadian Navy,Flower,K,925,10 February 1942,paid off 15 July 1945,,,
Tirpitz,GER,Bismarck,BB,42900,25 February 1941,sunk 12 November 1944,,,
Tjerk Hiddes,Royal Netherlands Navy,N,DD,1760,27 May 1942,"Transferred to Indonesia 1 March 1951, renamed Gadja Mada. Scrapped 1961",,,
Togo,GER,,Night fighter direction vessel,12700,13 August 1938,"post-war troop transport, sold into merchant service November 1956; ran aground off Mexico 21 November 1984",,,
Tokiwa,JPN,Asama,armored cruiser,9700,18 May 1899,Sunk 9 August 1945,,,
Tone,JPN,Tone,CA,15200,30 November 1938,Sunk 14 July 1945,,,
Topeka,USA,Cleveland,CL,11800,23 December 1944,"converted to missile cruiser 1960, scrapped 1975",,,
Toronto,Royal Canadian Navy,River,FF,1445,6 May 1944,paid off 14 April 1956,,,
Torridge,Royal Navy  Free French Naval Forces,River,FF,1370,1944,to Free French 1944 as Surprise,,,
Tourville,French Navy  Free French Naval Forces,Duquesne,CA,10000,1 December 1928,condemned 1962,,,
Tracker,ENG,Ruler,CVE,14400,31 January 1943,"paid off 2 November 1946, scrapped 1964",,,
Trafalgar,ENG,Battle,DD,2325,23 July 1945,"paid off 1963, scrapped 1970",,,
Trail,Royal Canadian Navy,Flower,K,925,30 April 1941,paid off 17 July 1945,,,
Transylvania,ENG,,armed merchant cruiser,16923,5 October 1939,sunk 10 August 1940,,,
Transvaal,South African Navy,Loch,FF,1435,21 May 1945,"Decommissioned 14 August 1964, and sunk as artificial reef",,,
Travancore,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Trento,Regia Marina,Trento,CA,10511,1929,sunk 14 June 1942,,,
Trentonian,Royal Canadian Navy,Flower modified,K,1015,1 December 1943,sunk 22 February 1945 by U-1004,,,
Trenton,USA,Omaha,CL,7050,19 April 1924,scrapped 1946,,,
Trieste,Regia Marina,Trento,CA,10511,1928,sunk 1943,,,
Trillium,Royal Canadian Navy,Flower,K,925,31 October 1940,paid off 27 June 1945,,,
Trinidad,ENG,Fiji,CL,8000,14 October 1941,sunk 15 May 1942,,,
Tripoli,USA,Casablanca,CVE,7800,31 October 1943,scrapped 1960,,,
Trippe,USA,Benham,DD,1500,1 November 1939,scuttled after A-bomb test 1948,,,
Tromp,Royal Netherlands Navy,Tromp,light cruiser/flotilla leader,3455,18 August 1938,decommissioned 1955,,,
Troubridge,ENG,T,DD,1710,8 March 1943,"paid off 27 March 1969, scrapped 1970",,,
Trouncer,ENG,Ruler,CVE,7800,31 January 1944,"paid off 12 April 1946, scrapped 1973",,,
Trumpeter,ENG,Ruler,CVE,7800,4 August 1943,"paid off 19 June 1946, scrapped 1971",,,
Tucker,USA,Mahan,DD,1450,23 July 1936,sunk 4 August 1942,,,
Tucuman,Argentine Navy,Mendoza,DD,1570,3 May 1929,Discarded 30 April 1962,,,
Tucson,USA,Atlanta,CL,6000,3 February 1945,scrapped 1971,,,
Tulagi,USA,Casablanca,CVE,7800,21 December 1943,decommissioned 30 April 1946,,,
Tulip,ENG,Flower,K,925,18 November 1940,sold 1947 as whaling ship; laid up 1962; scrapped 1965,,,
Tumult,ENG,T,DD,1710,2 April 1943,Scrapped 25 October 1965,,,
Turner,USA,Gleaves,DD,1630,15 April 1943,exploded 3 January 1944,,,
Tuscaloosa,USA,New Orleans,CA,9950,17 August 1934,"Decommissioned 13 February 1946, scrapped 1959",,,
Tuscan,ENG,T,DD,1710,11 March 1943,Scrapped 26 May 1966,,,
Tsingtau,GER,,Supply escort and Schnellboot tender,2490,24 September 1934,February 1950,,,
Tung Chi,Republic of China Navy,Fu An,gunship,1900,1895,Sunk 11 August 1937,,,
Tunisien,Free French Naval Forces,Cannon,DE,1240,11 February 1944,Decommissioned May 1964,,,
Tunsberg Castle,Royal Norwegian Navy,Castle-class corvette,K,1010,17 April 1944,former HMS Shrewsbury Castle; sunk 12 December 1944,,,
Tynedale,ENG,Hunt,DD,1050,2 December 1940,sunk 12 December 1943,,,
Tyrian,ENG,T,DD,1710,8 April 1943,scrapped 9 March 1965,,,
Cabana,USA,Evarts,DE,1140,9 July 1943,scrapped 1947,,,
Cabot,USA,Independence,CVL,11000,24 July 1943,"decommissioned 21 January 1955, scrapped 2002",,,
Cachalot,ENG,Grampus,SS,1810,15 August 1938,sunk 30 July 1941,,,
Cadiz,ENG,Battle,DD,2325,12 April 1946[5],paid off 1953,,,
Caesar,ENG,C,DD,1710,5 October 1944,"paid off June 1965, scrapped 1967",,,
Cairo,ENG,C,CL,4200,24 September 1919,lost 12 August 1942,,,
Calcaterra,USA,Edsall,DE,1250,17 November 1943,scrapped 1974,,,
Calcutta,ENG,C,CL,4200,21 August 1919,lost 1 June 1941,,,
Calcutta,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Caldas,Colombian National Navy,Antioquia,DD,1219,16 May 1934,scrapped November 1961,,,
Caldwell,Royal Navy  Royal Canadian Navy,Town,DD,1190,24 September 1940,"to RCN 1942, scrapped 1944",,,
Caldwell,USA,Benson,DD,1620,10 June 1942,"decommissioned 1946, scrapped 1966",,,
Caledon,ENG,C,CL,4180,6 March 1917,scrapped 1948,,,
Calendula,Royal Navy  United States Navy,Flower,K,925,6 May 1940,"to USA as Ready 12 March 1942, to UK 20 August 1945, paid off 1945",,,
Calgary,Royal Canadian Navy,Flower,K,925,16 December 1941,paid off 19 June 1945,,,
California,USA,Tennessee,BB,32600,10 August 1921,"Decommissioned 14 February 1947, scrapped 1959",,,
Callaghan,USA,Fletcher,DD,2050,27 November 1943,sunk 28 July 1945,,,
Calpe,ENG,Hunt,DE,1050,11 December 1941,scrapped 1966,,,
Calypso,ENG,C,CL,4180,6 March 1917,scrapped January 1948,,,
Cambrian,ENG,C,DD,1710,14 July 1944,"Paid off December 1968, scrapped 1971",,,
Camellia,ENG,Flower,K,925,18 June 1940,,,,
Cameron,ENG,Town,DD,1190,24 September 1940,constructive loss 5 December 1940,,,
Camp,USA,Edsall,DE,1250,16 September 1943,"to South Vietnam 1971, to Philippines 1976",,,
Campania,ENG,Nairana,CVE,13000,9 February 1944,"paid off 30 December 1945, scrapped 1955",,,
Campanula,ENG,Flower,K,925,6 September 1940[6],,,,
Campbeltown,ENG,Town,DD,1190,9 September 1940,"expended as demolition-ship at St Nazaire, 29 March 1942",,,
Camperdown,ENG,Battle,DD,2325,18 June 1945,"paid off 18 June 1945, scrapped 1970",,,
Campion,ENG,Flower,K,925,7 July 1941,,,,
Camrose,Royal Canadian Navy,Flower,K,925,30 June 1941,paid off 22 July 1945,,,
Canberra,Royal Australian Navy,County,CA,9850,10 July 1928,scuttled 9 August 1942,,,
Canberra,USA,Baltimore,CA,17200,14 October 1943,"decommissioned 1970, scrapped 1980",,,
Candytuft,Royal Navy  United States Navy,Flower,K,925,16 October 1940,"to USA as Tenacity 4 March 1942, to UK 26 August 1945",,,
Canfield,USA,Evarts,DE,1140,22 July 1943,scrapped 1947,,,
Cannon,United States Navy  Brazilian Navy,Cannon,DE,1240,26 September 1943,to Brazil 19 December 1944 as Baependi,,,
Cap de la Madeleine,Royal Canadian Navy,River,FF,1445,30 September 1944,paid off 15 May 1965,,,
Cape Breton,Royal Canadian Navy,River,FF,1445,25 October 1943,paid off 26 January 1946,,,
Cape Esperance,USA,Casablanca,CVE,10400,9 April 1944,scrapped 1959,,,
Cape Gloucester,USA,Commencement Bay,CVE,10900,5 March 1945,"decommissioned 1946, scrapped 1971",,,
Caperton,USA,Fletcher,DD,2050,30 June 1943,"decommissioned 1960, sunk as target",,,
Capetown,ENG,C,CL,4200,10 April 1922,Scrapped June 1946,,,
Capilano,Royal Canadian Navy,River,FF,1445,25 August 1944,paid off 24 November 1945,,,
Capitan O'Brien,CHL,Capitan O'Brien,SS,2020,1929,1957,,,
Capitan Thompson,CHL,Capitan O'Brien,SS,2020,1929,1958,,,
Capps,USA,Fletcher,DD,2050,23 June 1943,"To Spain 1957, scrapped 1985",,,
Caprice,ENG,C,DD,1710,5 April 1944,"paid off March 1973, scrapped 1979",,,
Captor,USA,,Q-ship,319,5 March 1942,paid off 4 October 1944,,,
Caradoc,ENG,C,CL,4180,15 June 1917,scrapped 1946,,,
Card,USA,Bogue,CVE,9800,8 November 1942,scrapped 1971,,,
Cardiff,ENG,C,CL,4290,25 June 1917,scrapped 1946,,,
Carinthia,ENG,,Armed Merchant Cruiser,20277,August 1939,"torpedoed 6 June 1940, foundered the next day",,,
Carlisle,ENG,C,CL,4200,11 November 1918,"constructive total loss 9 October 1942, scrapped 1948",,,
Carlplace,Royal Canadian Navy,River,FF,1445,13 December 1944,paid off 13 December 1945,,,
Carlson,USA,Evarts,DE,1140,10 May 1943,scrapped 1946,,,
Carmick,USA,Gleaves,DE,1630,28 December 1942,"decommissioned 1954, scrapped 1972",,,
Carnation,Royal Navy  Royal Netherlands Navy,Flower,K,925,22 February 1941[6],"transferred to Netherlands 24 March 1943, paid off 4 October 1944",,,
Carroll,USA,Cannon,DE,1240,24 October 1943,"decommissioned 1946, scrapped 1966",,,
Carron,ENG,C,DD,1710,6 November 1944,"paid off March 1963, scrapped 1967",,,
Carter,USA,Cannon,DE,1240,3 May 1944,"to Republic of China 1948, scrapped 1973",,,
Carysfort,ENG,C,DD,1710,20 February 1945,"paid off February 1969, scrapped 1970",,,
Casablanca,USA,Casablanca,CVE,7800,8 July 1943,"Decommissioned 10 June 1946, scrapped 1947",,,
Case,USA,Mahan,DD,1450,15 September 1936,scrapped 1948,,,
Cassandra,ENG,C,DD,1710,28 July 1944,"paid off January 1966, scrapped 1967",,,
Cassin,USA,Mahan,DD,1450,21 August 1936,"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948",,,
Cassin Young,USA,Fletcher,DD,2050,31 December 1943,"decommissioned 1960, museum ship at Boston, MA",,,
Castleton,ENG,Town,DD,1190,9 September 1940,scrapped 1947,,,
Catamarca,Argentine Navy,Catamarca,DD,1010,ca.1912,Sold 1959,,,
Cates,USA,Cannon,DE,1240,15 December 1943,"to France 1950, scrapped 1959",,,
Catterick,ENG,Hunt,DE,1050,12 June 1942,"to Greece 1946, scrapped 1963",,,
Cattistock,ENG,Hunt,DE,1000,22 July 1940,"paid off 26 March 1946, scrapped 1957",,,
Cauvery,Royal Indian Navy,Black Swan,SL,1350,26 August 1943,1977,,,
Cavalier,ENG,C,DD,1710,22 November 1944,Paid off July 1972; museum ship at Chatham,,,
Cavalla,USA,Gato,SS,"1,525 surfaced",29 February 1944,"decommissioned 1968; museum at Galveston, Texas",,,
Cavendish,ENG,C,DD,1710,13 December 1944,"paid off 1964, scrapped 1967",,,
Cayuga,Royal Canadian Navy,Tribal,DD,1850,20 October 1947,"built and launched during the war, paid off 27 February 1964",,,
Cecil J. Doyle,USA,Butler,DE,1350,16 October 1944,"decommissioned 1946, sunk as target 1967",,,
Celandine,ENG,Flower,K,925,30 April 1941[6],,,,
Ceres,ENG,C,CL,4290,1 June 1917,scrapped 1946,,,
Cervantes,Argentine Navy,Cervantes,DD,1522,3 September 1927,Struck 24 June 1961,,,
Ceylon,ENG,Fiji,CL,8800,13 July 1943,"sold to Peru 1959, renamed Colonel Bolognesi",,,
Chacabuco,CHL,Presidente Errazuriz,protected cruiser,4500,1902,struck December 1959,,,
Chaffee,USA,Rudderow,DE,1450,9 May 1944,"decommissioned 1946, scrapped 1948",,,
Chambers,USA,Edsall,DE,1250,24 November 1943,scrapped 1975,,,
Chambly,Royal Canadian Navy,Flower,K,925,18 December 1940,paid off 20 June 1945,,,
Champlin,USA,Benson,DD,1620,12 September 1942,"decommissioned 1947, scrapped 1972",,,
Chandler,USA,Clemson,DAM,1200,5 September 1919,scrapped 1946,,,
Chao Ho,Republic of China Navy,Chao Ho,C,2750,23 October 1911,sunk 28 September 1937,,,
Chaplet,ENG,C,DD,1710,24 August 1945,Laid up 1961. Sold for scrapping 1965.[7],,,
Charger,USA,Avenger,CVE,8200,3 March 1942,"paid off 15 March 1946, scrapped 1969",,,
Charles Ausburne,USA,Fletcher,DD,2050,24 November 1942,scrapped 1968,,,
Charles E. Brannon,USA,Butler,DE,1350,1 November 1944,"decommissioned 1960, scrapped 1969",,,
Charles F. Hughes,USA,Benson,DD,1620,5 September 1940,"decommissioned 1946, sunk as target 1969",,,
Charles J. Badger,USA,Fletcher,DD,2050,23 July 1943,"decommissioned 1957, scrapped 1974",,,
Charles J. Kimmel,USA,Rudderow,DE,1450,20 April 1944,"decommissioned 1947, sunk as target 1969",,,
Charles Lawrence,USA,Buckley,DE,1400,31 May 1943,scrapped 1965,,,
Charles P. Cecil,USA,Gearing,DD,2250,29 June 1945,"to Greece 1980, scrapped 2003",,,
Charles R. Greer,USA,Evarts,DE,1140,25 June 1943,scrapped 1947,,,
Charles R. Ware,USA,Gearing,DD,2250,21 July 1945,"decommissioned 1974, sunk as target 1981",,,
Charles S. Sperry,USA,Sumner,DD,2200,17 May 1944,"to Chile 1974, scrapped 1990",,,
Charlestown,ENG,Town,DD,1190,23 September 1940,scrapped 1947[8],,,
Charlock,Royal Navy  Royal Indian Navy,Flower modified,K,1015,March 1944,"to RIN post-war, paid off 1947",,,
Charlottetown (I),Royal Canadian Navy,Flower modified,K,1015,13 December 1941,sunk on 11 September 1942 by U-517,,,
Charlottetown (II),Royal Canadian Navy,River,FF,1445,28 April 1944,paid off 25 March 1947,,,
Charrette,USA,Fletcher,DD,2050,18 May 1943,"to Greece 1959, museum ship at Athens",,,
Chase,USA,Buckley,DE,1400,18 July 1943,scrapped 1946,,,
Chaser,ENG,Avenger,CVE,11400,9 April 1943,"paid off 12 May 1946, sold into merchant service, scrapped 1972/3",,,
Chatelain,USA,Edsall,DE,1250,22 September 1943,scrapped 1974,,,
Chatsgrove,ENG,P,Special Service ship,610,1918,broken up 1948,,,
Chauncey,USA,Fletcher,DD,2050,31 May 1943,"decommissioned 1954, scrapped 1972",,,
Chebogue,Royal Canadian Navy,River,FF,1445,22 February 1944,paid off 25 September 1945,,,
Chelsea,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1190,9 September 1940,"to Canada November 1942, to USSR July 1944 as Derzkiy",,,
